"Duration..in.seconds."	"ResponseId"	"age"	"sex"	"sex_3_TEXT"	"eth"	"eth_9_TEXT"	"rel"	"rel_8_TEXT"	"conLib_1"	"conLib_2"	"sdo_1"	"sdo_2"	"sdo_3"	"sdo_4"	"sdo_5"	"sdo_6"	"sdo_7"	"sdo_8"	"rwa_1"	"rwa_2"	"rwa_3"	"rwa_4"	"rwa_5"	"rwa_6"	"rwa_7"	"rwa_8"	"rwa_9"	"pols_1"	"pols_2"	"pols_3"	"pols_4"	"pols_5"	"beth_1"	"beth_2"	"beth_3"	"beth_4"	"bethSym1_4"	"stanley_1"	"stanley_2"	"stanley_3"	"stanley_4"	"stanleySym1_1"	"tina_1"	"tina_2"	"tina_3"	"tina_4"	"tinaSym1_1"	"speaker_1"	"speaker_2"	"speaker_3"	"speaker_4"	"speakerSym1_1"	"bethCheck"	"bethSRel"	"bethSwitch_1"	"bethSwitch_2"	"bethSwitch_3"	"bethSwitch_4"	"bethSym2_1"	"stanleyCheck"	"stanleySRel"	"stanleySwitch_1"	"stanleySwitch_2"	"stanleySwitch_3"	"stanleySwitch_4"	"stanleySym2_1"	"tinaCheck"	"tinaSRel"	"tinaSwitch_1"	"tinaSwitch_2"	"tinaSwitch_3"	"tinaSwitch_4"	"tinaSym2_1"	"speakerCheck"	"speakerSRel"	"speakerSwitch_1"	"speakerSwitch_2"	"speakerSwitch_3"	"speakerSwitch_4"	"speakerSym2_1"	"box"	"leftFirst"	"order"	"mTurkCode"	"team"	"id"	"sdo"	"sdo_level"	"SDO"	"lsdo"	"slsdo"	"apc_1"	"apc_2"	"frs_1"	"frs_2"	"frs_3"	"rwa"	"apc"	"bethAtt"	"tinaAtt"	"stanleyAtt"	"speakerAtt"	"totalAtt"	"beth"	"bethSwitch"	"tina"	"tinaSwitch"	"speaker"	"speakerSwitch"	"stanley"	"stanleySwitch"	"liked2"	"liked2_2"	"sdo_level2"	"message"	"sdo_level2c"	"bethDiff"	"tinaDiff"	"stanDiff"	"speaDiff"
"1858"	"R_r2QxI8lEFL9wn4d"	28	"Male"	""	"Caucasian"	""	"Atheist"	""	"20"	"33"	1	0	2	3	1	1	3	3	4	4	6	2	"5 Slightly agree"	"4 Neutral"	"6 Agree"	"5 Slightly agree"	"6 Agree"	-15	-40	-60	-20	15	5	6	6	5	"15"	3	3	2	2	"-25"	5	7	2	3	"40"	4	1	2	7	"30"	"Republicans"	"Not at all"	6	5	6	5	"-20"	"Donald Trump"	"Not at all"	3	5	2	2	"-40"	"People are too insensitive about race and gender"	"To some extent"	6	6	3	3	"-30"	"Support of multiculturalism"	"&nbsp;"	2	3	2	3	"-50"	""	"1"	"16"	"9473322"	"reps"	75	1.75	"medium"	-0.88125	0.559615787935423	-0.239180839773356	4	5	5	4	5	4	4.5	1	1	1	1	4	5.5	5.5	4.25	4.5	3.5	2.5	2.5	3	1	0.88125	"low"	1	-1	0	0.25	0.5	-1
"871"	"R_6M4rBOx5J6mzBTz"	30	"Male"	""	"Caucasian"	""	"Agnostic"	""	"44"	"44"	0	1	2	4	1	1	3	3	2	7	3	1	"6 Agree"	"2 Disagree"	"6 Agree"	"2 Disagree"	"2 Disagree"	-100	-66	23	-100	-100	4	6	5	6	"0"	5	6	7	7	"0"	2	6	3	2	"0"	5	6	7	6	"0"	"Republicans"	"Not at all"	4	7	2	7	"0"	"Donald Trump"	"Not at all"	5	6	7	6	"0"	"People are too sensitive about race and gender"	"Not at all"	3	2	3	2	"0"	"Opposition to multiculturalism"	"Not at all"	5	6	7	6	"0"	""	"1"	"5"	"5841107"	"reps"	76	1.875	"medium"	-0.75625	0.628608659422374	-0.170187968286404	5	7	5	1	1	3.25	6	1	0	1	0	2	5.25	5	3.25	2.5	6	6	6.25	6	1	0.75625	"low"	1	-1	-0.25	-0.75	-0.25	0
"617"	"R_1BRucKIXqp1qhLT"	46	"Male"	""	"Other:"	"European-American"	"Atheist"	""	"0"	"0"	3	3	3	3	5	6	3	3	5	8	3	5	"7 Strongly agree"	"1 Strongly disagree"	"6 Agree"	"6 Agree"	"4 Neutral"	-100	-14	-2	-100	-100	2	2	2	4	"-93"	2	6	4	4	"0"	6	6	2	6	"100"	-1	2	2	5	"-100"	"Republicans"	"Not at all"	2	2	2	4	"0"	"Donald Trump"	"Not at all"	2	6	4	4	"0"	"People are too sensitive about race and gender"	"&nbsp;"	6	6	2	6	"100"	"Support of multiculturalism"	"To a large extent"	4	2	2	5	"100"	"Thank you!"	"1"	"21"	"7600124"	"reps"	77	3.625	"high"	0.99375	1.28785428830664	0.48905766059786	6	8	5	5	3	5.25	7	1	0	1	1	3	2.5	2.5	5	5	2	3.25	4	4	-1	-0.99375	"high"	1	1	0	0	0	1.25
"649"	"R_1QlRnq1BMy6prI8"	31	"Female"	""	"Caucasian"	""	"Christianity"	""	"13"	"21"	2	0	2	3	1	0	2	2	5	5	6	4	"5 Slightly agree"	"6 Agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	75	2	-68	22	100	1	4	3	3	"-45"	7	1	7	6	"-79"	7	3	1	2	"100"	5	3	1	7	"20"	"Democrats"	"&nbsp;"	1	1	2	1	"-59"	"Donald Trump"	"Not at all"	7	4	7	3	"-94"	"People are too sensitive about race and gender"	"To a large extent"	7	3	1	1	"52"	"Support of multiculturalism"	"&nbsp;"	2	6	1	6	"-82"	""	"1"	"7"	"8950983"	"reps"	78	1.5	"low"	-1.13125	0.405465108108164	-0.393331519600614	4	3	6	6	6	5	3.5	0	0	1	1	2	2.75	1.25	3.25	3	4	3.75	5.25	5.25	1	1.13125	"low"	1	-1	-1.5	-0.25	0	-0.25
"617"	"R_1ety8znTFkh7aR8"	53	"Female"	""	"Caucasian"	""	"Christianity"	""	"36"	"37"	6	3	5	3	5	5	5	3	5	8	4	2	"2 Disagree"	"2 Disagree"	"6 Agree"	"4 Neutral"	"4 Neutral"	-50	13	88	-100	-100	2	6	6	6	"22"	3	6	3	3	"0"	6	4	3	4	"39"	3	3	2	5	"0"	"Democrats"	"Not at all"	3	5	5	5	"11"	"Hillary Clinton"	"Not at all"	3	5	3	3	"0"	"People are too insensitive about race and gender"	"Not at all"	4	4	3	4	"0"	"Opposition to multiculturalism"	"Not at all"	2	3	3	4	"0"	""	"0"	"1"	"4314302"	"reps"	79	4.375	"high"	1.74375	1.47590651980958	0.6771098921008	1	7	5	3	3	4.75	4	1	0	1	1	3	5	4.5	4.25	3.75	3.25	3	3.75	3.5	1	1.74375	"high"	-1	1	-0.5	-0.5	-0.25	-0.25
"922"	"R_2R509zGWfrCUbux"	39	"Male"	""	"Caucasian"	""	"Christianity"	""	"50"	"50"	6	6	8	5	6	6	7	7	4	4	6	4	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"1 Strongly disagree"	-90	9	87	-99	-100	3	5	2	5	"-96"	6	5	6	6	"-96"	5	3	1	2	"-95"	5	2	7	7	"-85"	"Republicans"	"&nbsp;"	5	7	7	7	"100"	"Donald Trump"	"To a large extent"	7	7	7	7	"100"	"People are too insensitive about race and gender"	"&nbsp;"	6	5	2	3	"100"	"Support of multiculturalism"	"To a large extent"	5	5	7	7	"99"	"Thanks so much !!!"	"1"	"22"	"5935090"	"reps"	80	6.375	"high"	3.74375	1.85238409104449	1.05358746333571	6	2	6	6	0	4.5	4	1	1	1	1	4	3.75	6.5	2.75	4	5.25	6	5.75	7	-1	-3.74375	"high"	1	1	2.75	1.25	1.25	0.75
"960"	"R_2R3NUtBWyq7zGDp"	29	"Male"	""	"Caucasian"	""	"Christianity"	""	"43"	"31"	6	6	7	2	5	0	2	6	6	3	6	0	"6 Agree"	"7 Strongly agree"	"6 Agree"	"1 Strongly disagree"	"1 Strongly disagree"	-93	30	100	-55	-69	1	6	6	7	"72"	7	5	7	3	"88"	6	7	1	7	"80"	0	1	3	2	"-57"	"Democrats"	"To some extent"	1	7	7	2	"88"	"Hillary Clinton"	"&nbsp;"	7	5	7	3	"73"	"People are too sensitive about race and gender"	"To a large extent"	7	5	1	6	"77"	"Opposition to multiculturalism"	"Not at all"	1	2	5	6	"-100"	"Everyone has right to free speech"	"0"	"1"	"1697100"	"reps"	81	4.25	"high"	1.61875	1.44691898293633	0.648122355227547	5	2	5	0	0	3.75	3.5	1	1	1	1	4	5	4.25	5.25	4.75	1.5	3.5	5.5	5.5	1	1.61875	"high"	-1	1	-0.75	-0.5	0	2
"558"	"R_C3xmaWMo8gE3hzH"	68	"Male"	""	"Hispanic"	""	"Christianity"	""	"4"	"3"	4	4	4	3	3	3	4	3	5	6	5	4	"5 Slightly agree"	"5 Slightly agree"	"5 Slightly agree"	"3 Slightly disagree"	"6 Agree"	18	-22	-59	8	52	4	6	5	6	"22"	2	3	2	2	"-51"	6	6	3	6	"40"	0	3	2	2	"-43"	"Democrats"	"To some extent"	3	5	5	5	"10"	"Hillary Clinton"	"To some extent"	5	5	4	5	"14"	"People are too sensitive about race and gender"	"&nbsp;"	5	5	5	5	"9"	"Opposition to multiculturalism"	"&nbsp;"	3	5	2	6	"13"	""	"0"	"14"	"987370"	"reps"	82	3.5	"high"	0.86875	1.25276296849537	0.45396634078659	4	4	4	2	5	5	4	1	1	1	1	4	5.25	4.5	5.25	5	1.75	4	2.25	4.75	1	0.86875	"high"	-1	1	-0.75	-0.25	2.5	2.25
"906"	"R_21v1hctrgKlriWu"	35	"Male"	""	"Caucasian"	""	"Christianity"	""	"31"	"16"	2	0	3	3	4	2	4	3	2	4	4	2	"6 Agree"	"5 Slightly agree"	"7 Strongly agree"	"6 Agree"	"3 Slightly disagree"	-24	30	25	-100	-50	3	6	3	6	"0"	5	5	3	5	"0"	3	5	2	2	"0"	4	3	5	3	"0"	"Republicans"	"&nbsp;"	2	6	3	6	"0"	"Donald Trump"	"Not at all"	5	6	3	3	"0"	"People are too sensitive about race and gender"	"To some extent"	5	6	2	2	"0"	"Support of multiculturalism"	"To some extent"	4	3	5	3	"0"	""	"1"	"21"	"2697419"	"reps"	83	2.625	"medium"	-0.00625000000000009	0.965080896043587	0.166284268334809	5	4	6	5	2	3	4.5	1	0	1	1	3	4.5	4.25	3	3.75	3.75	3.75	4.5	4.25	1	0.00625000000000009	"low"	1	-1	-0.25	0.75	-0.25	0
"1049"	"R_2V1PlsfpcThi1Zr"	69	"Female"	""	"Caucasian"	""	"Christianity"	""	"46"	"50"	4	1	5	4	5	3	6	6	4	7	4	6	"6 Agree"	"4 Neutral"	"7 Strongly agree"	"5 Slightly agree"	"5 Slightly agree"	-100	21	46	-100	-100	3	3	4	2	"-25"	2	4	3	3	"-96"	3	3	3	5	"-20"	1	5	2	4	"-59"	"Libertarians"	"To some extent"	3	3	4	5	"34"	"Donald Trump"	"To some extent"	6	2	3	5	"62"	"People are too sensitive about race and gender"	"To some extent"	4	5	2	5	"19"	"Opposition to multiculturalism"	"&nbsp;"	1	6	4	3	"-25"	""	"1"	"24"	"1831306"	"reps"	84	4.25	"high"	1.61875	1.44691898293633	0.648122355227547	5	5	6	4	4	5.25	5	0	0	1	0	1	3	3.75	3.5	4	3	3.5	3	4	-1	-1.61875	"high"	1	1	0.75	0.5	1	0.5
"1853"	"R_Qb3cABJmAxO2GIh"	34	"Male"	""	"Caucasian"	""	"Other"	"Judaism"	"13"	"8"	4	5	3	4	3	3	4	4	2	4	4	1	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"4 Neutral"	18	0	36	-100	-3	1	5	6	5	"-60"	6	7	7	7	"-27"	5	5	1	2	"-74"	5	5	6	7	"-68"	"Republicans"	"&nbsp;"	1	6	6	5	"27"	"Donald Trump"	"Not at all"	7	7	7	7	"10"	"People are too insensitive about race and gender"	"&nbsp;"	5	5	2	2	"15"	"Support of multiculturalism"	"Not at all"	5	5	7	6	"48"	"ANMXMEB55AGM6"	"1"	"17"	"3000911"	"reps"	85	3.75	"high"	1.11875	1.32175583998232	0.522959212273541	6	2	6	6	3	2.75	4	1	1	1	1	4	4.25	4.5	3.25	3.5	5.75	5.75	6.75	7	-1	-1.11875	"high"	1	1	0.25	0.25	0.25	0
"773"	"R_1gtF1uJs9wsLUzH"	39	"Female"	""	"Caucasian"	""	"Christianity"	""	"43"	"45"	3	3	4	4	4	4	5	5	5	7	5	5	"7 Strongly agree"	"7 Strongly agree"	"6 Agree"	"7 Strongly agree"	"3 Slightly disagree"	43	68	78	-26	-87	2	6	5	6	"-24"	6	6	2	6	"-61"	2	5	1	2	"-23"	5	7	7	7	"-21"	"Republicans"	"Not at all"	6	6	6	6	"60"	"Donald Trump"	"Not at all"	7	6	5	6	"20"	"People are too insensitive about race and gender"	"Not at all"	5	6	2	2	"42"	"Support of multiculturalism"	"Not at all"	4	6	6	6	"40"	""	"1"	"23"	"5416595"	"reps"	86	4	"high"	1.36875	1.38629436111989	0.587497733411112	6	2	5	6	2	5.5	4	1	1	1	1	4	4.75	6	2.5	3.75	6.5	5.5	5	6	-1	-1.36875	"high"	1	1	1.25	1.25	1	-1
"770"	"R_DiP1toqW4Gkkf2V"	44	"Female"	""	"Caucasian"	""	"Spiritual, but not affiliated with an organized religion"	""	"28"	"28"	3	0	3	2	3	3	3	2	6	7	3	3	"7 Strongly agree"	"1 Strongly disagree"	"6 Agree"	"6 Agree"	"6 Agree"	34	33	33	-100	0	6	2	5	6	"58"	4	6	7	1	"0"	7	7	2	6	"41"	4	2	2	7	"0"	"Republicans"	"Not at all"	4	2	6	6	"0"	"Donald Trump"	"Not at all"	4	6	7	2	"0"	"People are too insensitive about race and gender"	"To some extent"	6	7	1	7	"40"	"Support of multiculturalism"	"Not at all"	4	2	2	7	"0"	"Thank you!"	"1"	"14"	"5574647"	"reps"	87	2.375	"medium"	-0.25625	0.864997437486605	0.0662008097778263	6	8	5	5	5	4.75	7	1	1	1	1	4	4.75	4.5	5.5	5.25	3.75	3.75	4.5	4.75	1	0.25625	"low"	1	-1	-0.25	-0.25	0.25	0
"325"	"R_3KMHP72RkB7Hu4O"	34	"Female"	""	"Caucasian"	""	"Agnostic"	""	"39"	"6"	6	6	8	5	6	6	8	8	6	8	6	6	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	-91	32	100	-94	-91	1	7	7	7	"-2"	7	7	7	7	"-60"	7	7	1	6	"1"	5	3	5	2	"-39"	"Republicans"	"Not at all"	1	7	7	7	"0"	"Donald Trump"	"Not at all"	7	7	1	7	"-54"	"People are too insensitive about race and gender"	"Not at all"	7	5	3	6	"-15"	"Support of multiculturalism"	"Not at all"	5	3	5	3	"0"	""	"1"	"16"	"4317085"	"reps"	88	6.625	"high"	3.99375	1.89085037187229	1.09205374416351	6	2	6	6	6	6.5	4	1	1	1	1	4	5.5	5.5	5.25	5.25	3.75	4	7	5.5	-1	-3.99375	"high"	1	1	0	0	-1.5	0.25
"886"	"R_2bUzWlH3iltonen"	43	"Male"	""	"Caucasian"	""	"Christianity"	""	"14"	"42"	1	1	3	3	5	1	3	3	5	7	4	5	"5 Slightly agree"	"2 Disagree"	"6 Agree"	"5 Slightly agree"	"3 Slightly disagree"	-80	-75	-70	-85	-75	3	5	5	5	"-20"	5	5	5	5	"-50"	5	6	3	3	"20"	3	3	3	3	"-40"	"Democrats"	"Not at all"	3	5	5	5	"-50"	"Hillary Clinton"	"Not at all"	2	7	6	5	"-50"	"People are too sensitive about race and gender"	"Not at all"	6	6	3	3	"-40"	"Opposition to multiculturalism"	"To a large extent"	4	2	2	2	"20"	""	"0"	"17"	"3336677"	"reps"	89	2.5	"medium"	-0.13125	0.916290731874155	0.117494104165377	4	7	5	4	2	5.25	5.5	1	1	1	1	4	4.5	4.5	4.25	4.5	3	2.5	5	5	-1	-0.13125	"low"	-1	-1	0	0.25	0	-0.5
"504"	"R_2xXYpR8i9gKxL3A"	46	"Female"	""	"Caucasian"	""	"Christianity"	""	"-1"	"25"	0	0	2	2	0	0	2	2	1	8	3	2	"7 Strongly agree"	"1 Strongly disagree"	"7 Strongly agree"	"7 Strongly agree"	"3 Slightly disagree"	30	87	87	-100	-100	3	6	3	6	"11"	5	7	7	7	"0"	7	6	3	7	"96"	5	7	7	7	"79"	"Democrats"	"To a large extent"	1	4	1	4	"-100"	"Hillary Clinton"	"To some extent"	2	1	1	2	"-100"	"People are too sensitive about race and gender"	"To a large extent"	6	4	1	4	"-100"	"Opposition to multiculturalism"	"To some extent"	2	1	1	3	"-100"	""	"0"	"3"	"9904826"	"reps"	90	1	"low"	-1.63125	0	-0.798796627708778	6	8	6	6	2	3.5	7	1	1	1	1	4	4.5	2.5	5.75	3.75	6.5	1.75	6.5	1.5	-1	-1.63125	"low"	-1	-1	-2	-2	-5	-4.75
"347"	"R_VUMDrXktJJegXwB"	34	"Female"	""	"Caucasian"	""	"Christianity"	""	"-36"	"-44"	6	3	3	3	5	6	2	4	4	4	3	5	"3 Slightly disagree"	"5 Slightly agree"	"3 Slightly disagree"	"6 Agree"	"7 Strongly agree"	-54	3	-71	87	64	1	4	7	3	"52"	4	5	7	1	"55"	6	5	3	3	"38"	1	4	3	7	"21"	"Republicans"	"&nbsp;"	4	3	7	1	"29"	"Hillary Clinton"	"&nbsp;"	1	4	5	3	"-70"	"People are too insensitive about race and gender"	"&nbsp;"	7	7	3	4	"-55"	"Opposition to multiculturalism"	"To some extent"	4	5	3	3	"33"	"none"	"1"	"17"	"6129459"	"reps"	91	4	"high"	1.36875	1.38629436111989	0.587497733411112	2	4	2	5	6	4	3	1	1	0	0	2	3.75	3.75	4.25	5.25	3.75	3.75	4.25	3.25	-1	-1.36875	"high"	1	1	0	1	-1	0
"1046"	"R_1lgG04krsVPOXeV"	27	"Female"	""	"Caucasian"	""	"Christianity"	""	"43"	"50"	0	0	2	2	1	4	3	2	3	2	3	0	"7 Strongly agree"	"1 Strongly disagree"	"5 Slightly agree"	"3 Slightly disagree"	"7 Strongly agree"	-100	-100	-100	-100	-100	2	7	4	5	"0"	4	6	6	4	"100"	4	2	1	1	"20"	5	5	2	2	"100"	"Republicans"	"Not at all"	2	7	2	7	"20"	"Donald Trump"	"Not at all"	3	4	6	3	"100"	"People are too insensitive about race and gender"	"Not at all"	4	1	1	1	"0"	"Support of multiculturalism"	"To some extent"	3	3	2	1	"-100"	""	"1"	"12"	"460587"	"reps"	92	1.75	"medium"	-0.88125	0.559615787935423	-0.239180839773356	6	8	4	2	6	2	7	1	1	1	1	4	4.5	4.5	2	1.75	3.5	2.25	5	4	1	0.88125	"low"	1	-1	0	-0.25	-1	-1.25
"316"	"R_1MMr89HxDrLKk4z"	37	"Male"	""	"Caucasian"	""	"Agnostic"	""	"28"	"-4"	1	1	3	6	1	1	2	2	1	5	4	1	"7 Strongly agree"	"2 Disagree"	"7 Strongly agree"	"2 Disagree"	"5 Slightly agree"	-74	9	-23	-100	-41	3	7	5	7	"0"	2	2	3	7	"0"	1	3	1	2	"-60"	5	6	6	7	"0"	"Democrats"	"Not at all"	3	7	5	7	"0"	"Hillary Clinton"	"Not at all"	3	2	3	7	"0"	"People are too sensitive about race and gender"	"To some extent"	2	5	1	2	"0"	"Opposition to multiculturalism"	"To some extent"	5	6	6	6	"0"	""	"0"	"3"	"8301676"	"reps"	93	2.125	"medium"	-0.50625	0.75377180237638	-0.045024825332398	6	7	6	1	4	2.75	6.5	1	1	1	1	4	5.5	5.5	1.75	2.5	6	5.75	3.5	3.75	-1	-0.50625	"low"	-1	-1	0	0.75	0.25	-0.25
"1617"	"R_33BvZDqAos4apg7"	26	"Male"	""	"Caucasian"	""	"Christianity"	""	"37"	"44"	0	0	2	2	0	0	2	2	5	4	5	5	"5 Slightly agree"	"2 Disagree"	"7 Strongly agree"	"6 Agree"	"7 Strongly agree"	87	59	59	83	89	6	6	6	6	"94"	7	7	7	7	"96"	5	6	1	3	"65"	1	3	2	3	"-29"	"Republicans"	"Not at all"	3	7	6	6	"88"	"Hillary Clinton"	"Not at all"	7	7	6	7	"85"	"People are too insensitive about race and gender"	"&nbsp;"	6	6	1	2	"72"	"Opposition to multiculturalism"	"To a large extent"	1	3	2	2	"91"	""	"0"	"19"	"614482"	"reps"	94	1	"low"	-1.63125	0	-0.798796627708778	4	7	6	5	6	4.75	5.5	0	0	1	1	2	6	5.5	3.75	3.75	2.25	2	7	6.75	-1	-1.63125	"low"	-1	-1	-0.5	0	-0.25	-0.25
"1019"	"R_AtZRF3t8yA2WxPz"	58	"Male"	""	"Caucasian"	""	"Agnostic"	""	"50"	"25"	1	1	3	3	5	4	5	3	1	7	4	2	"7 Strongly agree"	"1 Strongly disagree"	"6 Agree"	"6 Agree"	"2 Disagree"	-84	41	47	-100	-96	2	6	2	5	"-62"	2	5	5	3	"-40"	6	2	2	2	"-82"	4	6	3	6	"-95"	"Republicans"	"&nbsp;"	2	6	2	5	"20"	"Donald Trump"	"To some extent"	3	6	6	5	"100"	"People are too insensitive about race and gender"	"&nbsp;"	6	3	2	3	"70"	"Support of multiculturalism"	"Not at all"	4	6	3	6	"61"	""	"1"	"12"	"8768615"	"reps"	95	3.125	"medium"	0.49375	1.13943428318836	0.340637655479587	6	8	5	5	1	3.5	7	1	1	1	1	4	3.75	3.75	3	3.5	4.75	4.75	3.75	5	-1	-0.49375	"high"	1	1	0	0.5	1.25	0
"1090"	"R_1gpVNi6O2mFTiTt"	36	"Female"	""	"Other:"	"biracial"	"Agnostic"	""	"-1"	"-50"	0	1	2	2	0	0	2	2	2	5	0	0	"7 Strongly agree"	"4 Neutral"	"7 Strongly agree"	"4 Neutral"	"7 Strongly agree"	98	-100	-51	-100	1	7	7	7	7	"0"	4	7	1	7	"0"	2	4	1	1	"0"	5	1	7	7	"0"	"Democrats"	"To some extent"	7	7	1	7	"1"	"Donald Trump"	"&nbsp;"	3	4	1	6	"0"	"People are too sensitive about race and gender"	"&nbsp;"	7	7	1	1	"0"	"Opposition to multiculturalism"	"&nbsp;"	5	1	6	6	"0"	""	"1"	"22"	"7196160"	"reps"	96	1.125	"low"	-1.50625	0.117783035656383	-0.681013592052395	6	5	6	3	6	1.75	5.5	0	0	1	0	1	7	5.5	2	4	5	4.5	4.75	3.5	1	1.50625	"low"	1	-1	-1.5	2	-1.25	-0.5
"1103"	"R_D6U8899kFrx8p9f"	57	"Female"	""	"Caucasian"	""	"Christianity"	""	"10"	"-5"	1	0	2	3	3	2	3	3	4	5	4	3	"6 Agree"	"2 Disagree"	"7 Strongly agree"	"6 Agree"	"6 Agree"	-10	15	24	-94	-57	3	4	6	5	"-44"	7	7	7	7	"-41"	7	6	2	1	"-38"	4	2	6	6	"0"	"Republicans"	"Not at all"	3	6	7	7	"-31"	"Donald Trump"	"Not at all"	7	7	6	6	"-41"	"People are too sensitive about race and gender"	"&nbsp;"	6	4	1	1	"34"	"Support of multiculturalism"	"Not at all"	4	1	6	6	"-35"	"Thank you for using MTurk for your research needs. Have a great week."	"1"	"16"	"6989913"	"reps"	97	2.125	"medium"	-0.50625	0.75377180237638	-0.045024825332398	5	7	6	5	5	4	6	1	0	1	1	3	4.5	5.75	4	3	4.5	4.25	7	6.5	1	0.50625	"low"	1	-1	1.25	-1	-0.5	-0.25
"810"	"R_1Kdr6cLxdu9THU1"	40	"Female"	""	"Caucasian"	""	"Christianity"	""	"50"	"50"	5	5	3	3	5	5	3	4	3	3	3	3	"7 Strongly agree"	"6 Agree"	"1 Strongly disagree"	"4 Neutral"	"1 Strongly disagree"	-26	-100	100	-100	-100	4	7	5	7	"33"	7	1	1	1	"-71"	4	5	1	3	"-39"	0	7	7	1	"40"	"Democrats"	"Not at all"	3	7	5	3	"65"	"Hillary Clinton"	"Not at all"	7	1	1	1	"-68"	"People are too sensitive about race and gender"	"Not at all"	5	7	1	5	"31"	"Support for affirmative action"	"&nbsp;"	2	4	4	4	"56"	""	"0"	"2"	"5136733"	"reps"	98	4.125	"high"	1.49375	1.41706601978664	0.618269392077866	6	3	0	3	0	3	4.5	1	1	1	0	3	5.75	4.5	3.25	4.5	3.75	3.5	2.5	2.5	1	1.49375	"high"	-1	1	-1.25	1.25	0	-0.25
"908"	"R_V2X8QITptQ7q5up"	48	"Female"	""	"Caucasian"	""	"Christianity"	""	"50"	"50"	2	2	6	7	6	6	8	8	6	7	3	5	"6 Agree"	"3 Slightly disagree"	"6 Agree"	"6 Agree"	"2 Disagree"	-100	75	100	-100	-100	2	5	2	5	"-10"	3	3	3	3	"-6"	3	4	2	4	"0"	4	6	6	6	"0"	"Republicans"	"Not at all"	2	6	2	5	"0"	"Donald Trump"	"Not at all"	3	3	3	3	"0"	"People are too insensitive about race and gender"	"Not at all"	4	2	2	3	"0"	"Support of multiculturalism"	"Not at all"	4	6	5	6	"0"	""	"1"	"23"	"2482868"	"reps"	99	5.625	"high"	2.99375	1.72722094809048	0.928424320381706	5	6	5	5	1	5.25	5.5	1	1	1	1	4	3.5	3.75	3.25	2.75	5.5	5.25	3	3	-1	-2.99375	"high"	1	1	0.25	-0.5	0	-0.25
"706"	"R_1OUgKsYE5D3skQX"	59	"Female"	""	"Caucasian"	""	"Spiritual, but not affiliated with an organized religion"	""	"28"	"28"	1	0	3	3	1	1	3	3	6	8	6	5	"6 Agree"	"4 Neutral"	"6 Agree"	"7 Strongly agree"	"5 Slightly agree"	-83	-64	75	-100	-100	2	5	3	5	"-100"	2	2	2	2	"-100"	5	5	1	4	"-100"	3	5	3	6	"-100"	"Republicans"	"To a large extent"	3	6	5	6	"75"	"Donald Trump"	"&nbsp;"	2	1	2	2	"0"	"People are too insensitive about race and gender"	"&nbsp;"	3	6	1	3	"100"	"Support of multiculturalism"	"&nbsp;"	4	3	3	6	"50"	""	"1"	"23"	"6110266"	"reps"	100	1.875	"medium"	-0.75625	0.628608659422374	-0.170187968286404	5	5	5	6	4	6.25	5	1	1	1	1	4	3.75	5	3.75	3.25	4.25	4	2	1.75	1	0.75625	"low"	1	-1	1.25	-0.5	-0.25	-0.25
"1058"	"R_3Kq4Nb8dyhtojNR"	42	"Female"	""	"Asian"	""	"Christianity"	""	"-1"	"18"	0	0	2	2	0	0	2	2	5	5	4	0	"4 Neutral"	"4 Neutral"	"4 Neutral"	"4 Neutral"	"2 Disagree"	70	-100	-100	100	100	3	4	5	4	"-91"	4	6	4	2	"-100"	6	5	2	4	"39"	1	4	4	3	"-83"	"Democrats"	"&nbsp;"	3	4	3	4	"-74"	"Hillary Clinton"	"&nbsp;"	4	4	3	2	"-81"	"People are too insensitive about race and gender"	"&nbsp;"	3	5	2	4	"25"	"Opposition to multiculturalism"	"&nbsp;"	1	3	4	4	"-82"	""	"0"	"3"	"1768908"	"reps"	101	1	"low"	-1.63125	0	-0.798796627708778	3	5	3	3	1	3.5	4	1	0	1	1	3	4	3.5	4.25	3.5	3	3	4	3.25	-1	-1.63125	"low"	-1	-1	-0.5	-0.75	-0.75	0
"670"	"R_1g0jyC8Otv5jpnw"	28	"Male"	""	"Caucasian"	""	"Christianity"	""	"40"	"17"	3	3	3	3	1	1	4	3	4	4	5	2	"5 Slightly agree"	"4 Neutral"	"5 Slightly agree"	"5 Slightly agree"	"4 Neutral"	81	-61	-27	42	71	4	5	6	5	"44"	5	6	6	4	"38"	5	5	5	4	"35"	2	4	5	3	"-11"	"Republicans"	""	5	5	5	5	"38"	"Donald Trump"	"&nbsp;"	4	5	5	4	"-21"	"People are too sensitive about race and gender"	"&nbsp;"	4	5	5	5	"35"	"Support for affirmative action"	"To some extent"	2	5	5	3	"-20"	""	"1"	"22"	"8616640"	"reps"	102	2.625	"medium"	-0.00625000000000009	0.965080896043587	0.166284268334809	4	5	4	4	3	3.75	4.5	1	0	1	0	2	5	5	4.75	4.75	3.5	3.75	5.25	4.5	1	0.00625000000000009	"low"	1	-1	0	0	-0.75	0.25
